Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57365.raw
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	5	4	2.0326e+06
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	3	3	16535.4
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	5	5	1.23988e+06
A6NNY8	UBP27_HUMAN	USP27X	Ubiquitin carboxyl-terminal hydrolase 27	1	0	19211.6
A6Q2V4	DAPA_NITSB	dapA	4-hydroxy-tetrahydrodipicolinate synthase	1	1	81245.2
A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	2	2	83149.7
A7ZPS4;A8A2X1;B1IWI1;B1LNC8;B2TXQ4;B5Z015;B6I548;B7LCL6;B7M7I1;B7MYB7;B7NQL6;P0A6L2;P0A6L3;P63943;P63944;Q0T239;Q31Y13;Q32D87;Q3YZ74	DAPA_ECO24;DAPA_ECO55;DAPA_ECO57;DAPA_ECO5E;DAPA_ECO7I;DAPA_ECO81;DAPA_ECO8A;DAPA_ECOHS;DAPA_ECOL6;DAPA_ECOLC;DAPA_ECOLI;DAPA_ECOSE;DAPA_ECOSM;DAPA_SHIB3;DAPA_SHIBS;DAPA_SHIDS;DAPA_SHIF8;DAPA_SHIFL;DAPA_SHISS	dapA	4-hydroxy-tetrahydrodipicolinate synthase	6	6	380591
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	11	1	1.46233e+06
A8MPP1	D11L8_HUMAN	DDX11L8	Putative ATP-dependent RNA helicase DDX11-like protein 8	1	0	261960
A8MQ03	CRTP1_HUMAN	CYSRT1	Cysteine-rich tail protein 1	1	1	8547.89
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	1	0	5.00168e+06
A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	3	3	405148
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	2	2	1.71592e+06
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	30	28	5.31304e+06
B4SRX7	DAPA_STRM5	dapA	4-hydroxy-tetrahydrodipicolinate synthase	1	1	1.27545e+06
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	3	0	1.23323e+06
B7ZW38;O60812;P0DMR1	HNRC1_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN	HNRNPCL1;HNRNPCL3;HNRNPCL4	Heterogeneous nuclear ribonucleoprotein C-like 3	1	0	4.43777e+06
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	2	0	81804.4
C7C422	BLAN1_KLEPN	blaNDM-1	Metallo-beta-lactamase type 2	1	1	30867.8
C9J7I0	UMAD1_HUMAN	UMAD1	UBAP1-MVB12-associated (UMA)-domain containing protein 1	1	1	6802.78
C9JI98	TM238_HUMAN	TMEM238	Transmembrane protein 238	2	2	121353
E0SDG8	CDIA_DICD3	cdiA	Deoxyribonuclease CdiA	2	2	1.42566e+06
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	4	3	1.37893e+07
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	3	3	1.7247e+06
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	4	4	1.22679e+06
L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	2	2	193213
L0R8F8	MIDUO_HUMAN	MIEF1	MIEF1 upstream open reading frame protein	1	1	426162
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	5	5	1.22298e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	17	17	1.29233e+06
O00124	UBXN8_HUMAN	UBXN8	UBX domain-containing protein 8	1	1	7238.43
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	12	11	1.65958e+06
O00141	SGK1_HUMAN	SGK1	Serine/threonine-protein kinase Sgk1	7	7	212445
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	5	5	2.47012e+06
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	10	10	1.46988e+06
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	9	9	2.49121e+06
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	24	24	5.63337e+06
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	7	7	8.87595e+06
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	8	8	1.0623e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	11	11	1.6888e+06
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	10	10	775514
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	14	14	4.56739e+06
O00189	AP4M1_HUMAN	AP4M1	AP-4 complex subunit mu-1	5	5	94861.6
O00193	SMAP_HUMAN	SMAP	Small acidic protein	4	4	1.19854e+06
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	2	2	2.46568e+06
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	19	16	4.45797e+06
O00212	RHOD_HUMAN	RHOD	Rho-related GTP-binding protein RhoD	1	1	2.11623e+06
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	4	4	1.82699e+06
O00220	TR10A_HUMAN	TNFRSF10A	Tumor necrosis factor receptor superfamily member 10A	2	2	228319
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	20	19	1.06079e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	14	14	3.73691e+06
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	8	8	4.94364e+06
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	4	4	3.04672e+06
O00255	MEN1_HUMAN	MEN1	Menin	4	4	16960.8
O00257	CBX4_HUMAN	CBX4	E3 SUMO-protein ligase CBX4	6	6	1.58338e+06
O00258	GET1_HUMAN	GET1	Guided entry of tail-anchored proteins factor 1	1	1	1.86836e+06
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	7	6	9.13753e+06
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	25	25	3.53344e+06
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	8	7	101347
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	12	12	1.94215e+06
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	10	10	2.17586e+06
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	11	11	2.01194e+07
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	11	11	8.60032e+06
O00308	WWP2_HUMAN	WWP2	NEDD4-like E3 ubiquitin-protein ligase WWP2	1	1	6450.31
O00311	CDC7_HUMAN	CDC7	Cell division cycle 7-related protein kinase	1	1	60807.6
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	9	9	2.94085e+06
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	3	3	174489
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	2	2	970954
O00400	ACATN_HUMAN	SLC33A1	Acetyl-coenzyme A transporter 1	7	7	500779
O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein	4	4	1.46e+06
O00410	IPO5_HUMAN	IPO5	Importin-5	30	29	5.32416e+06
O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	6	6	145231
O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	6	6	889776
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	3	3	2.63078e+06
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	18	16	2.47217e+06
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	24	24	2.0681e+06
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	6	6	5.09983e+06
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	10	10	115811
O00458	IFRD1_HUMAN	IFRD1	Interferon-related developmental regulator 1	6	6	1.96303e+06
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	2	2	57933.4
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	12	12	830321
O00462	MANBA_HUMAN	MANBA	Beta-mannosidase	2	2	267675
O00468	AGRIN_HUMAN	AGRN	Agrin	21	21	5.17432e+06
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	7	7	337816
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	10	10	1.0824e+06
O00472	ELL2_HUMAN	ELL2	RNA polymerase II elongation factor ELL2	1	1	2832.24
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	3	3	6.91019e+06
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	5	5	7.96225e+06
O00488	ZN593_HUMAN	ZNF593	Zinc finger protein 593	3	3	1.45407e+06
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	8	7	4.10716e+06
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	3	3	976029
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	19	19	1.07933e+07
O00541	PESC_HUMAN	PES1	Pescadillo homolog	19	19	2.95236e+06
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	3	3	190375
O00562	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	8	8	786877
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	4	4	591435
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	19	19	1.30751e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	21	8	1.04276e+07
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	3	3	237416
O00592	PODXL_HUMAN	PODXL	Podocalyxin	5	5	8.801e+06
O00622	CCN1_HUMAN	CCN1	CCN family member 1	4	4	221070
O00623	PEX12_HUMAN	PEX12	Peroxisome assembly protein 12	2	2	40362.1
O00625	PIR_HUMAN	PIR	Pirin	5	5	2.35026e+06
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	8	4	3.62219e+06
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	2	2	729144
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	7	7	2.42862e+06
O00750	P3C2B_HUMAN	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	1	1	809554
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	3	3	1.40468e+06
O00762	UBE2C_HUMAN	UBE2C	Ubiquitin-conjugating enzyme E2 C	3	3	1.11236e+06
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	7	7	1.87997e+06
O00767	ACOD_HUMAN	SCD	Acyl-CoA desaturase	5	5	6.38518e+06
O13297	CET1_YEAST	CET1	mRNA-capping enzyme subunit beta	12	12	8.67293e+06
O13329	FOB1_YEAST	FOB1	DNA replication fork-blocking protein FOB1	1	1	15322.9
O13516	RS9A_YEAST	RPS9A	Small ribosomal subunit protein uS4A	11	1	6.72721e+07
O13525	COQ4_YEAST	COQ4	Ubiquinone biosynthesis protein COQ4, mitochondrial	1	1	125594
O13539	THP2_YEAST	THP2	THO complex subunit THP2	4	4	5.2098e+06
O13547	CCW14_YEAST	CCW14	Covalently-linked cell wall protein 14	1	1	1.17368e+06
O13563	RPN13_YEAST	RPN13	26S proteasome regulatory subunit RPN13	4	4	5.60984e+06
O13585	YP089_YEAST	YPR089W	Dilute domain-containing protein YPR089W	7	7	1.12423e+06
O14455	RL36B_YEAST	RPL36B	Large ribosomal subunit protein eL36B	4	1	7.66298e+07
O14467	MBF1_YEAST	MBF1	Multiprotein-bridging factor 1	7	7	1.60547e+07
O14493;O15551;O95484;P56747	CLD3_HUMAN;CLD4_HUMAN;CLD6_HUMAN;CLD9_HUMAN	CLDN3;CLDN4;CLDN6;CLDN9	Claudin-4	1	0	327640
O14494	PLPP1_HUMAN	PLPP1	Phospholipid phosphatase 1	1	1	538381
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	10	9	506302
O14519	CDKA1_HUMAN	CDK2AP1	Cyclin-dependent kinase 2-associated protein 1	2	1	37347.6
O14523	C2C2L_HUMAN	C2CD2L	Phospholipid transfer protein C2CD2L	3	3	4349.45
O14524	NEMP1_HUMAN	NEMP1	Nuclear envelope integral membrane protein 1	4	4	177787
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	6	6	768080
O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	6	6	815021
O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	5	5	3.21186e+06
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	2	2	2.08839e+06
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	6	6	3.6179e+06
O14578	CTRO_HUMAN	CIT	Citron Rho-interacting kinase	3	3	84282.2
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	11	11	7.60768e+07
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	16	16	2.49426e+06
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	4	4	370620
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	10	10	912129
O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2	4	2	567754
O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1	10	8	3.27439e+06
O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2	4	4	360142
O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	1	1	377636
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	8	8	1.92132e+07
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	5	5	1.24766e+06
O14662	STX16_HUMAN	STX16	Syntaxin-16	4	4	1.0413e+06
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	12	12	2.74596e+06
O14678	ABCD4_HUMAN	ABCD4	Lysosomal cobalamin transporter ABCD4	2	2	3481.34
O14681	EI24_HUMAN	EI24	Etoposide-induced protein 2.4 homolog	4	4	2.0183e+06
O14684	PTGES_HUMAN	PTGES	Prostaglandin E synthase	3	3	6.58782e+06
O14686	KMT2D_HUMAN	KMT2D	Histone-lysine N-methyltransferase 2D	4	4	149527
O14727	APAF_HUMAN	APAF1	Apoptotic protease-activating factor 1	5	5	528018
O14730	RIOK3_HUMAN	RIOK3	Serine/threonine-protein kinase RIO3	4	4	158659
O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	3	3	2.5108e+06
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	4	4	1.65019e+06
O14734	ACOT8_HUMAN	ACOT8	Acyl-coenzyme A thioesterase 8	6	6	3.70571e+06
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	2	2	4.84324e+06
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	5	5	4.64857e+06
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	11	11	4.72675e+06
O14745	NHRF1_HUMAN	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	10	10	3.73737e+06
O14757	CHK1_HUMAN	CHEK1	Serine/threonine-protein kinase Chk1	5	5	156093
O14763	TR10B_HUMAN	TNFRSF10B	Tumor necrosis factor receptor superfamily member 10B	6	6	440734
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	7	7	5.0616e+06
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	20	19	4.34154e+06
O14777	NDC80_HUMAN	NDC80	Kinetochore protein NDC80 homolog	4	4	99616.5
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	6	6	2.95045e+06
O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1	16	16	7.23916e+06
O14817	TSN4_HUMAN	TSPAN4	Tetraspanin-4	1	1	1.02059e+06
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	10	6	1.59947e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	6	6	2.86378e+06
O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	3	3	829951
O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	3	3	50906.4
O14879	IFIT3_HUMAN	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	4	4	88389.6
O14880	MGST3_HUMAN	MGST3	Microsomal glutathione S-transferase 3	3	3	1.00407e+06
O14893	GEMI2_HUMAN	GEMIN2	Gem-associated protein 2	2	2	346314
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	2	2	683457
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	11	10	2.38252e+06
O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	7	7	6.56095e+06
O14925	TIM23_HUMAN	TIMM23	Mitochondrial import inner membrane translocase subunit Tim23	2	0	643445
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	8	8	1.03323e+06
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	11	11	433103
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	3	3	3.03989e+06
O14950;P19105	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	7	0	5.81527e+06
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	9	9	705458
O14965	AURKA_HUMAN	AURKA	Aurora kinase A	8	7	1.12163e+06
O14967	CLGN_HUMAN	CLGN	Calmegin	1	1	6337.22
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	2	2	50306.7
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	19	19	1.55867e+06
O14975	S27A2_HUMAN	SLC27A2	Very long-chain acyl-CoA synthetase	20	20	5.48266e+06
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	10	10	539731
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	6	6	1.14574e+07
O14980	XPO1_HUMAN	XPO1	Exportin-1	29	29	6.55232e+06
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	13	13	3.86685e+06
O15013	ARHGA_HUMAN	ARHGEF10	Rho guanine nucleotide exchange factor 10	3	2	234388
O15014	ZN609_HUMAN	ZNF609	Zinc finger protein 609	5	5	12179.3
O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	32	32	3.22454e+06
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	30	30	1.43196e+06
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	21	21	1.2912e+06
O15037	KHNYN_HUMAN	KHNYN	Protein KHNYN	2	2	3673.85
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	17	17	3.71144e+06
O15047	SET1A_HUMAN	SETD1A	Histone-lysine N-methyltransferase SETD1A	7	7	244504
O15061	SYNEM_HUMAN	SYNM	Synemin	4	4	93864.9
O15062	ZBTB5_HUMAN	ZBTB5	Zinc finger and BTB domain-containing protein 5	1	1	2312.14
O15066	KIF3B_HUMAN	KIF3B	Kinesin-like protein KIF3B	1	1	3348.95
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	24	24	2.997e+06
O15084	ANR28_HUMAN	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	6	6	2.98246e+06
O15085	ARHGB_HUMAN	ARHGEF11	Rho guanine nucleotide exchange factor 11	2	2	2597.7
O15091	MRPP3_HUMAN	PRORP	Mitochondrial ribonuclease P catalytic subunit	3	3	320701
O15111	IKKA_HUMAN	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha	3	3	145086
O15118	NPC1_HUMAN	NPC1	NPC intracellular cholesterol transporter 1	11	11	4.15826e+06
O15119	TBX3_HUMAN	TBX3	T-box transcription factor TBX3	2	2	10537.6
O15120	PLCB_HUMAN	AGPAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	3	3	662220
O15121	DEGS1_HUMAN	DEGS1	Sphingolipid delta(4)-desaturase DES1	2	2	175686
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	7	7	1.57468e+06
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	2	2	2.40901e+06
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	9	9	2.78215e+06
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	12	12	1.42641e+07
