Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57367.raw
O00189	AP4M1_HUMAN	AP4M1	AP-4 complex subunit mu-1	5	5	115204
O00193	SMAP_HUMAN	SMAP	Small acidic protein	4	4	6.59248e+07
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	3	3	990407
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	19	15	635982
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	5	5	1.07498e+06
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	21	20	1.27033e+08
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	16	16	3.64272e+06
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	9	9	2.48237e+06
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	4	4	3.12333e+06
O00255	MEN1_HUMAN	MEN1	Menin	4	4	54362.1
O00257	CBX4_HUMAN	CBX4	E3 SUMO-protein ligase CBX4	5	5	52684.4
O00258	GET1_HUMAN	GET1	Guided entry of tail-anchored proteins factor 1	2	2	4141.22
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	5	5	4.01479e+06
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	29	29	938187
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	6	5	43455.9
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	12	12	815936
O00287	RFXAP_HUMAN	RFXAP	Regulatory factor X-associated protein	3	3	40004.7
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	6	6	512248
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	8	8	1.13194e+07
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	11	11	5.54578e+06
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	9	9	586856
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	1	1	171011
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	2	2	184369
O00400	ACATN_HUMAN	SLC33A1	Acetyl-coenzyme A transporter 1	5	5	1.46473e+06
O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein	4	4	791347
O00410	IPO5_HUMAN	IPO5	Importin-5	29	27	3.18567e+06
O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	8	8	255292
O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	8	8	348628
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	6	6	2.38661e+06
O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	3	3	2998.25
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	17	15	2.01176e+06
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	26	26	1.46734e+06
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	4	4	987482
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	9	9	147347
O00458	IFRD1_HUMAN	IFRD1	Interferon-related developmental regulator 1	6	6	569657
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	6	5	108803
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	13	13	597793
O00462	MANBA_HUMAN	MANBA	Beta-mannosidase	1	1	273175
O00468	AGRIN_HUMAN	AGRN	Agrin	17	17	2.06061e+06
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	5	5	10178.8
O00470	MEIS1_HUMAN	MEIS1	Homeobox protein Meis1	1	0	71290.8
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	12	12	506261
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	3	3	3.37304e+06
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	6	6	1.36947e+07
O00488	ZN593_HUMAN	ZNF593	Zinc finger protein 593	3	3	309331
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	10	9	1.21037e+06
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	7	3	2.78423e+06
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	16	16	6.29475e+06
O00541	PESC_HUMAN	PES1	Pescadillo homolog	16	16	1.72212e+06
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	4	4	207702
O00562	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	13	13	3.4098e+06
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	4	4	450544
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	21	21	9.60312e+06
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	28	9	5.81414e+06
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	4	4	82703.5
O00592	PODXL_HUMAN	PODXL	Podocalyxin	8	8	5.11343e+06
O00622	CCN1_HUMAN	CCN1	CCN family member 1	3	3	16571.9
O00625	PIR_HUMAN	PIR	Pirin	5	5	1.62255e+06
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	3	3	1.7506e+06
O00635	TRI38_HUMAN	TRIM38	E3 ubiquitin-protein ligase TRIM38	1	1	6264.48
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	4	3	272574
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	7	7	1.74163e+06
O00750	P3C2B_HUMAN	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	4	4	205087
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	5	5	1.33395e+06
O00762	UBE2C_HUMAN	UBE2C	Ubiquitin-conjugating enzyme E2 C	4	4	668367
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	8	8	9.74547e+06
O00767	ACOD_HUMAN	SCD	Acyl-CoA desaturase	5	5	2.73072e+06
O13297	CET1_YEAST	CET1	mRNA-capping enzyme subunit beta	9	9	3.04536e+06
O13516	RS9A_YEAST	RPS9A	Small ribosomal subunit protein uS4A	11	1	3.86668e+07
O13539	THP2_YEAST	THP2	THO complex subunit THP2	1	1	7779.41
O13547	CCW14_YEAST	CCW14	Covalently-linked cell wall protein 14	2	2	459222
O13563	RPN13_YEAST	RPN13	26S proteasome regulatory subunit RPN13	4	4	1.41366e+06
O13585	YP089_YEAST	YPR089W	Dilute domain-containing protein YPR089W	9	9	315831
O14455	RL36B_YEAST	RPL36B	Large ribosomal subunit protein eL36B	4	1	4.49312e+07
O14467	MBF1_YEAST	MBF1	Multiprotein-bridging factor 1	8	8	8.94364e+06
O14493;O15551;O95484;P56747	CLD3_HUMAN;CLD4_HUMAN;CLD6_HUMAN;CLD9_HUMAN	CLDN3;CLDN4;CLDN6;CLDN9	Claudin-4	1	0	137417
O14494	PLPP1_HUMAN	PLPP1	Phospholipid phosphatase 1	1	1	2.31666e+06
O14495	PLPP3_HUMAN	PLPP3	Phospholipid phosphatase 3	2	2	3040.01
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	9	8	182790
O14519;O75956	CDKA1_HUMAN;CDKA2_HUMAN	CDK2AP1;CDK2AP2	Cyclin-dependent kinase 2-associated protein 1	1	0	100738
O14524	NEMP1_HUMAN	NEMP1	Nuclear envelope integral membrane protein 1	3	3	115239
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	6	6	657176
O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	6	6	179688
O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	5	5	2.7532e+06
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	1	1	751147
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	7	7	1.66799e+06
O14569	C56D2_HUMAN	CYB561D2	Cytochrome b561 domain-containing protein 2	1	1	165121
O14578	CTRO_HUMAN	CIT	Citron Rho-interacting kinase	8	8	2.65558e+06
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	8	8	1.34933e+06
O14613	BORG1_HUMAN	CDC42EP2	Cdc42 effector protein 2	1	1	11188.4
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	18	18	2.14002e+06
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	4	4	519226
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	8	8	362651
O14640;P54792	DVL1_HUMAN;DVLP1_HUMAN	DVL1;DVL1P1	Segment polarity protein dishevelled homolog DVL-1	1	0	3281.55
O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2	4	3	11073.9
O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1	15	12	1.24913e+06
O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2	7	7	316711
O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	1	1	69861.1
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	6	6	1.08848e+07
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	7	7	759126
O14662	STX16_HUMAN	STX16	Syntaxin-16	4	4	182205
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	16	16	699346
O14678	ABCD4_HUMAN	ABCD4	Lysosomal cobalamin transporter ABCD4	2	2	179792
O14681	EI24_HUMAN	EI24	Etoposide-induced protein 2.4 homolog	4	4	4.03134e+06
O14684	PTGES_HUMAN	PTGES	Prostaglandin E synthase	3	3	4.15032e+06
O14727	APAF_HUMAN	APAF1	Apoptotic protease-activating factor 1	2	2	84318.7
O14730	RIOK3_HUMAN	RIOK3	Serine/threonine-protein kinase RIO3	4	4	193543
O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	2	2	661017
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	3	3	1.26071e+06
O14734	ACOT8_HUMAN	ACOT8	Acyl-coenzyme A thioesterase 8	4	4	183568
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	2	2	1.16247e+06
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	6	6	2.72712e+06
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	13	13	1.63412e+06
O14745	NHRF1_HUMAN	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	9	9	1.08451e+06
O14763	TR10B_HUMAN	TNFRSF10B	Tumor necrosis factor receptor superfamily member 10B	5	5	71696.4
O14772	FPGT_HUMAN	FPGT	Fucose-1-phosphate guanylyltransferase	4	4	54805.6
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	6	6	4.91093e+06
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	28	26	2.32832e+06
O14777	NDC80_HUMAN	NDC80	Kinetochore protein NDC80 homolog	2	2	311265
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	5	5	1.91597e+06
O14795	UN13B_HUMAN	UNC13B	Protein unc-13 homolog B	2	1	241928
O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1	10	10	829281
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	10	6	1.01743e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	7	7	2.02969e+06
O14832	PAHX_HUMAN	PHYH	Phytanoyl-CoA dioxygenase, peroxisomal	1	1	1.03221e+06
O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	1	1	664692
O14867	BACH1_HUMAN	BACH1	Transcription regulator protein BACH1	3	3	736244
O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	3	3	3.70279e+06
O14879	IFIT3_HUMAN	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	4	4	48603.3
O14880	MGST3_HUMAN	MGST3	Microsomal glutathione S-transferase 3	3	3	596195
O14893	GEMI2_HUMAN	GEMIN2	Gem-associated protein 2	1	1	7393.03
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	2	2	367029
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	12	11	1.33213e+06
O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	10	10	579175
O14925	TIM23_HUMAN	TIMM23	Mitochondrial import inner membrane translocase subunit Tim23	1	1	363214
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	6	6	688431
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	7	7	257134
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	4	4	1.68334e+06
O14950;P19105	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	3	0	3.19718e+06
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	9	9	509551
O14965	AURKA_HUMAN	AURKA	Aurora kinase A	5	4	96010.7
O14967	CLGN_HUMAN	CLGN	Calmegin	4	4	142421
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	2	2	2560.79
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	21	21	923978
O14975	S27A2_HUMAN	SLC27A2	Very long-chain acyl-CoA synthetase	18	18	3.21129e+06
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	11	11	403270
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	7	6	7.63509e+06
O14980	XPO1_HUMAN	XPO1	Exportin-1	29	28	3.7831e+06
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	15	15	1.47894e+06
O15013	ARHGA_HUMAN	ARHGEF10	Rho guanine nucleotide exchange factor 10	6	5	55573.3
O15014	ZN609_HUMAN	ZNF609	Zinc finger protein 609	7	7	52373
O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	27	27	5.30904e+06
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	37	37	2.34949e+06
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	24	22	1.90488e+06
O15037	KHNYN_HUMAN	KHNYN	Protein KHNYN	1	1	734.171
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	19	19	1.94515e+06
O15047	SET1A_HUMAN	SETD1A	Histone-lysine N-methyltransferase SETD1A	3	3	309885
O15061	SYNEM_HUMAN	SYNM	Synemin	2	2	173750
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	29	29	2.0377e+06
O15084	ANR28_HUMAN	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	8	7	1.08946e+06
O15085	ARHGB_HUMAN	ARHGEF11	Rho guanine nucleotide exchange factor 11	1	1	1856.72
O15091	MRPP3_HUMAN	PRORP	Mitochondrial ribonuclease P catalytic subunit	1	1	192399
O15111	IKKA_HUMAN	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha	4	4	1.71717e+06
O15118	NPC1_HUMAN	NPC1	NPC intracellular cholesterol transporter 1	11	11	6.8594e+06
O15119	TBX3_HUMAN	TBX3	T-box transcription factor TBX3	2	2	48491.6
O15120	PLCB_HUMAN	AGPAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	4	4	418407
O15121	DEGS1_HUMAN	DEGS1	Sphingolipid delta(4)-desaturase DES1	2	2	105617
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	10	10	1.30922e+06
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	3	3	1.70578e+06
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	12	12	1.78248e+06
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	14	14	3.71343e+06
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	6	6	2.61972e+06
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	8	8	3.72408e+06
O15162	PLS1_HUMAN	PLSCR1	Phospholipid scramblase 1	3	3	674876
O15164	TIF1A_HUMAN	TRIM24	Transcription intermediary factor 1-alpha	7	7	688750
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	9	8	6.85476e+06
O15182	CETN3_HUMAN	CETN3	Centrin-3	1	1	3362.62
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	6	6	3.30495e+06
O15213	WDR46_HUMAN	WDR46	WD repeat-containing protein 46	8	8	260921
O15226	NKRF_HUMAN	NKRF	NF-kappa-B-repressing factor	19	19	2.29121e+06
O15228	GNPAT_HUMAN	GNPAT	Dihydroxyacetone phosphate acyltransferase	7	7	274252
