													0.806591931	1.747260787	0.184406952	-0.310089138	0.805094953	-2.439043559							
P00448	SODM_ECOLI	sodA	Superoxide dismutase [Mn]	3	3	5.88E+06	ECOLI	1177860	22.48704364	20.16773664	-2.319306998	0.200363691			0.200363691			-2.319306998	A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	3	0	69961.8
P00452	RIR1_ECOLI	nrdA	Ribonucleoside-diphosphate reductase 1 subunit alpha	11	11	1.88E+06	ECOLI	44119.1	20.84304541	15.42911574	-5.413929668	0.023455504			0.023455504			-5.413929668	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	6	6	292599
P00490	PHSM_ECOLI	malP	Maltodextrin phosphorylase	10	10	496375	ECOLI	185407	18.92107093	17.50033619	-1.420734742	0.373522035			0.373522035			-1.420734742	A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	3	3	317911
P00509	AAT_ECOLI	aspC	Aspartate aminotransferase	16	15	6.34E+06	ECOLI	195890	22.59540956	17.57968423	-5.015725338	0.030911225			0.030911225			-5.015725338	A2RUR9	C144A_HUMAN	CCDC144A	Coiled-coil domain-containing protein 144A	1	1	206161
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	5	5	192731	ECOLI		17.55622912										A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	11	11	67900
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	2	2	4920.42	ECOLI		12.26456575										A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	3	2	132366
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	7	7	804527	ECOLI		19.61778131										A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	4	4	798454
P00582	DPO1_ECOLI	polA	DNA polymerase I	5	5	4.53E+06	ECOLI		22.11215248										A5A6H5;P25705;Q5R546	ATPA_HUMAN;ATPA_PANTR;ATPA_PONAB	ATP5F1A	"ATP synthase subunit alpha, mitochondrial"	11	1	8.62E+07
P00722	BGAL_ECOLI	lacZ	Beta-galactosidase	4	4	15457.6	ECOLI		13.91602872										A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	1	1	53641.2
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	14	14	1.34E+06	ECOLI	69504.7	20.35616823	16.08482292	-4.271345314	0.05178416			0.05178416			-4.271345314	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	27	27	1.09E+06
P00934	THRC_ECOLI	thrC	Threonine synthase	1	1	74441.8	ECOLI		16.18382532										A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1	1	404152
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	5	5	145482	ECOLI		17.15048114										A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1	0	1.03E+06
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	5	5	702845	ECOLI	73194.5	19.42284704	16.15944762	-3.263399413	0.104140315			0.104140315			-3.263399413	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	7	7	958565
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	15	14	5.11E+06	ECOLI		22.28400508										A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	2	2	25918.5
P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	19	19	762439	ECOLI		19.54026239										A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1	1	2.18E+06
P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	11	11	149642	ECOLI	21865.1	17.19115563	14.41634233	-2.774813301	0.146116064			0.146116064			-2.774813301	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	22	22	2.57E+06
P00960	SYGA_ECOLI	glyQ	Glycine--tRNA ligase alpha subunit	5	5	1.66E+06	ECOLI		20.66600724										A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	2	1	1.27E+06
P00961	SYGB_ECOLI	glyS	Glycine--tRNA ligase beta subunit	16	16	1.04E+06	ECOLI	35897.7	19.98385925	15.13160379	-4.852255457	0.03461988			0.03461988			-4.852255457	A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	2	2	37324.4
P00962	SYQ_ECOLI	glnS	Glutamine--tRNA ligase	2	2	245260	ECOLI		17.90395244										A6NNY8;Q9UPT9	UBP22_HUMAN;UBP27_HUMAN	USP22;USP27X	Ubiquitin carboxyl-terminal hydrolase 27	1	0	11918.7
P00968	CARB_ECOLI	carB	Carbamoyl phosphate synthase large chain	13	13	874105	ECOLI	44246.3	19.73744707	15.4332692	-4.304177868	0.050618976			0.050618976			-4.304177868	A7MP70;A7ZPS4;A8A2X1;B1IWI1;B1LNC8;B2TXQ4;B5Z015;B6I548;B7LCL6;B7LKG3;B7M7I1;B7MYB7;B7NQL6;P0A6L2;P0A6L3;P63943;P63944;Q0T239;Q31Y13;Q32D87;Q3YZ74	DAPA_CROS8;DAPA_ECO24;DAPA_ECO55;DAPA_ECO57;DAPA_ECO5E;DAPA_ECO7I;DAPA_ECO81;DAPA_ECO8A;DAPA_ECOHS;DAPA_ECOL6;DAPA_ECOLC;DAPA_ECOLI;DAPA_ECOSE;DAPA_ECOSM;DAPA_ESCF3;DAPA_SHIB3;DAPA_SHIBS;DAPA_SHIDS;DAPA_SHIF8;DAPA_SHIFL;DAPA_SHISS	dapA	4-hydroxy-tetrahydrodipicolinate synthase	1	1	222783
P02358	RS6_ECOLI	rpsF	Small ribosomal subunit protein bS6	3	3	8.27E+06	ECOLI	1357670	22.97990242	20.37270143	-2.607200995	0.164117274			0.164117274			-2.607200995	A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	9	1	1.29E+06
P02359	RS7_ECOLI	rpsG	Small ribosomal subunit protein uS7	5	5	8.42E+06	ECOLI	1022750	23.00600379	19.96402211	-3.041981681	0.121414979			0.121414979			-3.041981681	A8MPP1;Q96FC9	D11L8_HUMAN;DDX11_HUMAN	DDX11;DDX11L8	Putative ATP-dependent RNA helicase DDX11-like protein 8	1	0	195366
P02413	RL15_ECOLI	rplO	Large ribosomal subunit protein uL15	6	6	6.39E+06	ECOLI	1033760	22.60731902	19.97946985	-2.62784917	0.16178512			0.16178512			-2.62784917	A8MQ03	CRTP1_HUMAN	CYSRT1	Cysteine-rich tail protein 1	1	1	10411.7
P02924	ARAF_ECOLI	araF	L-arabinose-binding periplasmic protein	4	4	151843	ECOLI		17.21222088										A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	1	0	4.06E+06
P02925	RBSB_ECOLI	rbsB	Ribose import binding protein RbsB	11	11	3.87E+06	ECOLI	3697210	21.88477047	21.81800556	-0.066764914	0.954776582			0.954776582			-0.066764914	A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	3	3	294679
P03018	UVRD_ECOLI	uvrD	DNA helicase II	1	1	2571.93	ECOLI		11.32863566										B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	24	23	4.19E+06
P03817	MIOC_ECOLI	mioC	Protein MioC	1	1	540198	ECOLI		19.04312877										B5EGX4;C6E9Q9	DAPA_CITBB;DAPA_GEOSM	dapA	4-hydroxy-tetrahydrodipicolinate synthase	1	1	3117.66
P03841	MALM_ECOLI	malM	Maltose operon periplasmic protein	2	2	1.37E+06	ECOLI		20.38821704										B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	2	0	1.62E+06
P04079	GUAA_ECOLI	guaA	GMP synthase [glutamine-hydrolyzing]	7	7	112820	ECOLI	14396	16.78366332	13.81338039	-2.97028293	0.127601489			0.127601489			-2.97028293	E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	"Nascent polypeptide-associated complex subunit alpha, muscle-specific form"	4	3	8.90E+06
P04425	GSHB_ECOLI	gshB	Glutathione synthetase	2	2	597352	ECOLI		19.18822179										E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	2	2	616606
P04693	TYRB_ECOLI	tyrB	Aromatic-amino-acid aminotransferase	6	6	550658	ECOLI	159787	19.07079705	17.28579051	-1.785006537	0.290174664			0.290174664			-1.785006537	G1SPK4;P05388;P14869;P19945;Q29214;Q95140	RLA0_BOVIN;RLA0_HUMAN;RLA0_MOUSE;RLA0_PIG;RLA0_RABIT;RLA0_RAT	RPLP0;Rplp0	Large ribosomal subunit protein uL10	7	0	3.45E+07
P04805	SYE_ECOLI	gltX	Glutamate--tRNA ligase	7	7	1.85E+06	ECOLI		20.82122901										L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	4	4	649347
P04825	AMPN_ECOLI	pepN	Aminopeptidase N	16	16	1.47E+06	ECOLI	207101	20.48480126	17.65997499	-2.82482627	0.141137545			0.141137545			-2.82482627	L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	1	1	14647.1
P04951	KDSB_ECOLI	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	2	2	812947	ECOLI		19.63280177										O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	3	3	664445
P04983	RBSA_ECOLI	rbsA	Ribose import ATP-binding protein RbsA	3	3	147587	ECOLI		17.17120612										O00116	ADAS_HUMAN	AGPS	"Alkyldihydroxyacetonephosphate synthase, peroxisomal"	13	13	742504
P05020	PYRC_ECOLI	pyrC	Dihydroorotase	1	1	13385.7	ECOLI		13.70840497										O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	9	9	915511
P05042	FUMC_ECOLI	fumC	Fumarate hydratase class II	7	7	404554	ECOLI		18.62597276										O00141	SGK1_HUMAN	SGK1	Serine/threonine-protein kinase Sgk1	1	1	1861.29
P05055	PNP_ECOLI	pnp	Polyribonucleotide nucleotidyltransferase	17	17	9.30E+06	ECOLI	174771	23.14956077	17.41510629	-5.734454475	0.018782664			0.018782664			-5.734454475	O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	13	5	1.76E+07
P05459	PDXB_ECOLI	pdxB	Erythronate-4-phosphate dehydrogenase	3	3	52241.3	ECOLI		15.67290318										O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	5	5	1.34E+06
P05793	ILVC_ECOLI	ilvC	Ketol-acid reductoisomerase (NADP(+))	1	1	208522	ECOLI		17.66984008										O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	9	9	2.15E+06
P06610	BTUE_ECOLI	btuE	Thioredoxin/glutathione peroxidase BtuE	4	4	2.40E+06	ECOLI	8525.62	21.19744349	13.05758904	-8.13985445	0.003545354			0.003545354			-8.13985445	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	24	24	1.07E+07
P06612	TOP1_ECOLI	topA	DNA topoisomerase 1	11	11	2.34E+06	ECOLI		21.16049805										O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	3	3	164333
P06715	GSHR_ECOLI	gor	Glutathione reductase	2	2	73135	ECOLI		16.15827438										O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	5	5	516074
P06720	AGAL_ECOLI	melA	Alpha-galactosidase	2	2	3.99E+06	ECOLI		21.92834415										O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	10	10	1.41E+06
P06721	METC_ECOLI	metC	Cystathionine beta-lyase MetC	1	1	1.01E+06	ECOLI		19.94866381										O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	7	7	463839
P06959	ODP2_ECOLI	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	16	16	1.90E+07	ECOLI	7883580	24.17959479	22.91041949	-1.269175302	0.414896875			0.414896875			-1.269175302	O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	8	8	9.11E+06
P06968	DUT_ECOLI	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	1	1	109752	ECOLI		16.7438877										O00189	AP4M1_HUMAN	AP4M1	AP-4 complex subunit mu-1	3	3	144931
P06987	HIS7_ECOLI	hisB	Histidine biosynthesis bifunctional protein HisB	1	1	13060.2	ECOLI		13.67288937										O00193	SMAP_HUMAN	SMAP	Small acidic protein	2	2	241661
P06988	HISX_ECOLI	hisD	Histidinol dehydrogenase	2	2	131394	ECOLI		17.00353987										O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	3	2	298902
P06999	PFKB_ECOLI	pfkB	ATP-dependent 6-phosphofructokinase isozyme 2	6	6	961996	ECOLI		19.87567137										O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	10	8	646175
P07003	POXB_ECOLI	poxB	Pyruvate dehydrogenase [ubiquinone]	8	8	7.88E+06	ECOLI	6445480	22.91045243	22.61985637	-0.290596057	0.817564208			0.817564208			-0.290596057	O00217	NDUS8_HUMAN	NDUFS8	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial"	4	4	629761
P07004	PROA_ECOLI	proA	Gamma-glutamyl phosphate reductase	4	4	249253	ECOLI		17.92725134										O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	18	17	1.58E+07
P07012	RF2_ECOLI	prfB	Peptide chain release factor RF2	3	3	1.11E+06	ECOLI		20.0813352										O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	11	11	3.05E+06
P07014	SDHB_ECOLI	sdhB	Succinate dehydrogenase iron-sulfur subunit	7	7	838202	ECOLI	8784.8	19.67693844	13.10079373	-6.576144712	0.010480529			0.010480529			-6.576144712	O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	8	8	4.53E+06
P07024	USHA_ECOLI	ushA	Protein UshA	5	5	53794.9	ECOLI		15.71518178										O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	3	3	4.88E+06
P07118	SYV_ECOLI	valS	Valine--tRNA ligase	11	11	1.42E+06	ECOLI		20.43981465										O00255	MEN1_HUMAN	MEN1	Menin	3	3	9294.85
P07395	SYFB_ECOLI	pheT	Phenylalanine--tRNA ligase beta subunit	17	17	2.10E+06	ECOLI	934194	21.00401056	19.83336265	-1.170647906	0.444221798			0.444221798			-1.170647906	O00257	CBX4_HUMAN	CBX4	E3 SUMO-protein ligase CBX4	3	3	5.53E+06
P07639	AROB_ECOLI	aroB	3-dehydroquinate synthase	1	1	5662.14	ECOLI		12.46713171										O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	7	6	1.01E+07
P07650	TYPH_ECOLI	deoA	Thymidine phosphorylase	2	2	177540	ECOLI		17.43778458										O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	21	21	1.01E+06
P07762	GLGB_ECOLI	glgB	"1,4-alpha-glucan branching enzyme GlgB"	2	2	248377	ECOLI		17.92217206										O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	3	3	36485.8
P07813	SYL_ECOLI	leuS	Leucine--tRNA ligase	12	12	1.86E+06	ECOLI	67748.7	20.82849912	16.04790564	-4.780593478	0.036382955			0.036382955			-4.780593478	O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	11	11	2.42E+06
P07913	TDH_ECOLI	tdh	L-threonine 3-dehydrogenase	3	3	845504	ECOLI	27321.9	19.68945205	14.73777019	-4.951681861	0.032314336			0.032314336			-4.951681861	O00287	RFXAP_HUMAN	RFXAP	Regulatory factor X-associated protein	2	2	53617.7
P08179	PUR3_ECOLI	purN	Phosphoribosylglycinamide formyltransferase	1	1	4893.29	ECOLI		12.25658907										O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	4	4	660674
P08194	GLPT_ECOLI	glpT	Glycerol-3-phosphate transporter	3	3	4.53E+06	ECOLI		22.10991671										O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	9	9	1.60E+07
P08200	IDH_ECOLI	icd	Isocitrate dehydrogenase [NADP]	15	15	1.44E+07	ECOLI	8869890	23.77821231	23.08048478	-0.697727533	0.616542592			0.616542592			-0.697727533	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	11	11	7.28E+06
P08244	PYRF_ECOLI	pyrF	Orotidine 5'-phosphate decarboxylase	2	2	81440.8	ECOLI		16.31346411										O00330	ODPX_HUMAN	PDHX	"Pyruvate dehydrogenase protein X component, mitochondrial"	7	7	395987
P08312	SYFA_ECOLI	pheS	Phenylalanine--tRNA ligase alpha subunit	10	10	1.99E+06	ECOLI	153615	20.92224757	17.22895957	-3.693287996	0.077305346			0.077305346			-3.693287996	O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	1	1	142631
P08622	DNAJ_ECOLI	dnaJ	Chaperone protein DnaJ	1	1	7498.16	ECOLI		12.8723209										O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	1	1	63572.9
P08839	PT1_ECOLI	ptsI	Phosphoenolpyruvate-protein phosphotransferase	12	12	1.68E+06	ECOLI	110426	20.6776147	16.75272037	-3.924894331	0.065839887			0.065839887			-3.924894331	O00400	ACATN_HUMAN	SLC33A1	Acetyl-coenzyme A transporter 1	4	4	50723.2
P08997	MASY_ECOLI	aceB	Malate synthase A	6	6	384510	ECOLI		18.55266159										O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein	2	2	95672
P09127	HEMX_ECOLI	hemX	Protein HemX	3	3	67109.1	ECOLI		16.03422079										O00410	IPO5_HUMAN	IPO5	Importin-5	23	22	3.58E+06
P09323	PTW3C_ECOLI	nagE	PTS system N-acetylglucosamine-specific EIICBA component	3	3	128752	ECOLI		16.97423532										O00411	RPOM_HUMAN	POLRMT	"DNA-directed RNA polymerase, mitochondrial"	4	4	16841.8
P09372	GRPE_ECOLI	grpE	Protein GrpE	2	2	930833	ECOLI	112938	19.82816283	16.78517146	-3.04299137	0.121330034			0.121330034			-3.04299137	O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	1	1	145707
P09373	PFLB_ECOLI	pflB	Formate acetyltransferase 1	19	17	4.43E+06	ECOLI	6371160	22.07885573	22.60312464	0.52426891	1.438204581			1.438204581			0.52426891	O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	3	3	1.52E+06
P09394	GLPQ_ECOLI	glpQ	"Glycerophosphodiester phosphodiesterase, periplasmic"	10	10	1.08E+07	ECOLI	7855720	23.36046133	22.90531208	-0.455149253	0.729434705			0.729434705			-0.455149253	O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	14	12	2.09E+06
P09424	MTLD_ECOLI	mtlD	Mannitol-1-phosphate 5-dehydrogenase	1	1	700749	ECOLI		19.41853825										O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	21	21	1.54E+06
P09546	PUTA_ECOLI	putA	Bifunctional protein PutA	9	9	327142	ECOLI		18.31955747										O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	4	4	387336
P09551	ARGT_ECOLI	argT	Lysine/arginine/ornithine-binding periplasmic protein	8	8	2.63E+06	ECOLI	389423	21.32779931	18.57097857	-2.756820745	0.147949759			0.147949759			-2.756820745	O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	2	2	8197.54
P09831	GLTB_ECOLI	gltB	Glutamate synthase [NADPH] large chain	2	2	27670.4	ECOLI		14.75605588										O00458	IFRD1_HUMAN	IFRD1	Interferon-related developmental regulator 1	5	5	988487
P09832	GLTD_ECOLI	gltD	Glutamate synthase [NADPH] small chain	3	2	11882	ECOLI		13.53649007										O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	6	6	919232
P0A3B2;P0DTT0	BIPA_ECO27;BIPA_ECOLI	bipA	Large ribosomal subunit assembly factor BipA	8	8	1.01E+06	ECOLI	4624.85	19.94668072	12.17519086	-7.771489862	0.004576658			0.004576658			-7.771489862	O00468	AGRIN_HUMAN	AGRN	Agrin	13	13	106268
P0A698	UVRA_ECOLI	uvrA	UvrABC system protein A	5	5	6899.77	ECOLI		12.75233256										O00469	PLOD2_HUMAN	PLOD2	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"	4	4	164863
P0A6A3	ACKA_ECOLI	ackA	Acetate kinase	7	7	265429	ECOLI	52961.4	18.01796648	15.69265364	-2.32531284	0.199531325			0.199531325			-2.32531284	O00470	MEIS1_HUMAN	MEIS1	Homeobox protein Meis1	1	1	3741.5
P0A6A6	LEUC_ECOLI	leuC	3-isopropylmalate dehydratase large subunit	1	1	3789.7	ECOLI		11.88786793										O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	8	8	470982
P0A6A8	ACP_ECOLI	acpP	Acyl carrier protein	3	3	3.49E+07	ECOLI	7502070	25.0586983	22.83885729	-2.21984101	0.214665015			0.214665015			-2.21984101	O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	3	3	5.31E+06
P0A6B7	ISCS_ECOLI	iscS	Cysteine desulfurase IscS	11	11	2.11E+06	ECOLI	191786	21.00957716	17.54913788	-3.460439271	0.090845617			0.090845617			-3.460439271	O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	3	3	818138
P0A6D7	AROK_ECOLI	aroK	Shikimate kinase 1	1	1	135589	ECOLI		17.04888062										O00488	ZN593_HUMAN	ZNF593	Zinc finger protein 593	3	3	47636.2
P0A6E4	ASSY_ECOLI	argG	Argininosuccinate synthase	2	2	756366	ECOLI		19.52872499										O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	5	5	1.54E+06
P0A6E6	ATPE_ECOLI	atpC	ATP synthase epsilon chain	1	1	4874.91	ECOLI		12.25115987										O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	2	2	466591
P0A6F1	CARA_ECOLI	carA	Carbamoyl phosphate synthase small chain	2	2	208614	ECOLI		17.67047645										O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	12	12	1.60E+07
P0A6F3	GLPK_ECOLI	glpK	Glycerol kinase	24	24	2.00E+07	ECOLI	3808390	24.25154771	21.8607498	-2.390797915	0.190676914			0.190676914			-2.390797915	O00541	PESC_HUMAN	PES1	Pescadillo homolog	16	16	2.67E+06
P0A6F5	CH60_ECOLI	groEL	Chaperonin GroEL	19	18	1.34E+07	ECOLI	7845750	23.67940708	22.90347993	-0.775927141	0.58401319			0.58401319			-0.775927141	O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	2	2	26466.9
P0A6F9	CH10_ECOLI	groES	Co-chaperonin GroES	5	5	1.01E+07	ECOLI	1177860	23.27493375	20.16773664	-3.107197109	0.11604875			0.11604875			-3.107197109	O00562	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	3	3	43517.7
P0A6G7	CLPP_ECOLI	clpP	ATP-dependent Clp protease proteolytic subunit	3	3	1.56E+07	ECOLI		23.89212661										O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	4	4	443816
P0A6H1	CLPX_ECOLI	clpX	ATP-dependent Clp protease ATP-binding subunit ClpX	3	3	1.33E+07	ECOLI		23.66277354										O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	14	14	1.37E+07
P0A6H5	HSLU_ECOLI	hslU	ATP-dependent protease ATPase subunit HslU	8	8	800560	ECOLI		19.61065001										O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	20	7	8.14E+06
P0A6I0	KCY_ECOLI	cmk	Cytidylate kinase	2	2	258044	ECOLI		17.97725756										O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	3	3	255564
P0A6J5	DADA_ECOLI	dadA	D-amino acid dehydrogenase	4	4	299228	ECOLI		18.19088565										O00592	PODXL_HUMAN	PODXL	Podocalyxin	5	5	6.08E+06
P0A6J8	DDLA_ECOLI	ddlA	D-alanine--D-alanine ligase A	1	1	26854.9	ECOLI		14.71289773										O00622	CCN1_HUMAN	CCN1	CCN family member 1	1	1	1905.45
P0A6K1	DAPF_ECOLI	dapF	Diaminopimelate epimerase	1	1	3584.31	ECOLI		11.8074797										O00625	PIR_HUMAN	PIR	Pirin	5	5	2.23E+06
