Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57359.raw
A6NEF3;A6NEM1;A6NI86;H0YKK7	GG6L4_HUMAN;GG6L9_HUMAN;GG6LA_HUMAN;GG6LS_HUMAN	GOLGA6L10;GOLGA6L19;GOLGA6L4;GOLGA6L9	Golgin subfamily A member 6-like protein 4	1	0	258642
A6NEL3;P0C5J1;Q8N7N1;Q96G04	EF2KT_HUMAN;F86B1_HUMAN;F86B2_HUMAN;F86C2_HUMAN	EEF2KMT;FAM86B1;FAM86B2;FAM86C2P	Putative protein FAM86C2P	1	0	4119.91
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1	1	2.57959e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	36	36	5.22104e+06
A6NHX0	CAST2_HUMAN	CASTOR2	Cytosolic arginine sensor for mTORC1 subunit 2	2	2	110932
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	4	3	464319
A6NJ46	NKX63_HUMAN	NKX6-3	Homeobox protein Nkx-6.3	1	1	1189.12
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	3	3	10241.7
A6NKD2;P0CV98;P0CV99;P0CW00;P0CW01;Q01534	TSPY1_HUMAN;TSPY2_HUMAN;TSPY3_HUMAN;TSPY4_HUMAN;TSPY8_HUMAN;TSPYA_HUMAN	TSPY1;TSPY10;TSPY2;TSPY3;TSPY4;TSPY8	Testis-specific Y-encoded protein 2	1	0	2.46673e+06
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	6	6	1.29913e+06
A6NKT7	RGPD3_HUMAN	RGPD3	RanBP2-like and GRIP domain-containing protein 3	1	0	55422.2
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	1	0	4861.31
A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	3	3	3865.4
A7ZPS4;A8A2X1;B1IWI1;B1LNC8;B2TXQ4;B5Z015;B6I548;B7LCL6;B7M7I1;B7MYB7;B7NQL6;P0A6L2;P0A6L3;P63943;P63944;Q0T239;Q31Y13;Q32D87;Q3YZ74	DAPA_ECO24;DAPA_ECO55;DAPA_ECO57;DAPA_ECO5E;DAPA_ECO7I;DAPA_ECO81;DAPA_ECO8A;DAPA_ECOHS;DAPA_ECOL6;DAPA_ECOLC;DAPA_ECOLI;DAPA_ECOSE;DAPA_ECOSM;DAPA_SHIB3;DAPA_SHIBS;DAPA_SHIDS;DAPA_SHIF8;DAPA_SHIFL;DAPA_SHISS	dapA	4-hydroxy-tetrahydrodipicolinate synthase	7	7	620045
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	1	1	6620.7
A8MPP1	D11L8_HUMAN	DDX11L8	Putative ATP-dependent RNA helicase DDX11-like protein 8	3	0	1.79632e+06
A8MQ03	CRTP1_HUMAN	CYSRT1	Cysteine-rich tail protein 1	2	2	207074
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	3	0	7.81296e+06
A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	5	5	825524
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	2	2	1.40847e+06
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	29	27	3.80947e+06
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	4	0	1.33626e+06
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	2	0	211874
C9JI98	TM238_HUMAN	TMEM238	Transmembrane protein 238	2	2	512422
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	4	3	8.43914e+06
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	3	3	3.7129e+06
G1SPK4;P05388;P14869;P19945;Q29214;Q95140	RLA0_BOVIN;RLA0_HUMAN;RLA0_MOUSE;RLA0_PIG;RLA0_RABIT;RLA0_RAT	RPLP0;Rplp0	Large ribosomal subunit protein uL10	9	0	3.19564e+07
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	4	4	830030
L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	4	4	7.50704e+06
L0R8F8	MIDUO_HUMAN	MIEF1	MIEF1 upstream open reading frame protein	2	2	305041
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	4	4	1.27652e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	17	17	1.02826e+06
O00124	UBXN8_HUMAN	UBXN8	UBX domain-containing protein 8	1	1	4860.18
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	14	13	1.40654e+06
O00141	SGK1_HUMAN	SGK1	Serine/threonine-protein kinase Sgk1	4	4	224538
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	6	6	2.00019e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	10	10	843043
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	11	10	2.06014e+06
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	22	22	3.12222e+06
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	7	7	6.20798e+06
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	7	7	775467
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	11	11	1.29806e+06
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	8	8	1.37698e+06
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	15	15	4.37315e+06
O00189	AP4M1_HUMAN	AP4M1	AP-4 complex subunit mu-1	6	6	1.30984e+06
O00193	SMAP_HUMAN	SMAP	Small acidic protein	3	3	4.91797e+07
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	2	2	79268.9
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	19	15	930550
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	4	4	1.35072e+06
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	21	20	3.77973e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	16	16	4.83637e+06
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	9	9	3.94674e+06
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	4	4	1.46915e+06
O00255	MEN1_HUMAN	MEN1	Menin	4	4	216613
O00257	CBX4_HUMAN	CBX4	E3 SUMO-protein ligase CBX4	5	5	2.233e+06
O00258	GET1_HUMAN	GET1	Guided entry of tail-anchored proteins factor 1	2	2	55189
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	9	8	8.15737e+06
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	27	27	1.24032e+06
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	8	7	1.34439e+06
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	10	10	569968
O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1	5	5	1.12273e+06
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	11	11	1.20967e+07
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	11	11	5.57117e+06
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	12	12	1.88474e+06
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	5	5	448334
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	3	3	1.34684e+06
O00400	ACATN_HUMAN	SLC33A1	Acetyl-coenzyme A transporter 1	7	7	604363
O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein	6	6	784071
O00410	IPO5_HUMAN	IPO5	Importin-5	32	30	3.54925e+06
O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial	7	7	384683
O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	7	7	1.25716e+06
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	7	7	3.28468e+06
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	20	18	4.36076e+06
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	26	26	1.63536e+06
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	4	4	2.54633e+06
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	13	13	115830
O00458	IFRD1_HUMAN	IFRD1	Interferon-related developmental regulator 1	7	7	2.32606e+06
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	4	3	9.26926e+06
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	15	15	850777
O00462	MANBA_HUMAN	MANBA	Beta-mannosidase	4	4	370874
O00468	AGRIN_HUMAN	AGRN	Agrin	17	17	3.92823e+06
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	5	5	169392
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	13	13	8.13618e+06
O00472	ELL2_HUMAN	ELL2	RNA polymerase II elongation factor ELL2	2	2	4196.23
O00478;P78410	BT3A2_HUMAN;BT3A3_HUMAN	BTN3A2;BTN3A3	Butyrophilin subfamily 3 member A3	1	0	292780
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	3	3	5.48947e+06
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	8	8	8.96954e+07
O00488	ZN593_HUMAN	ZNF593	Zinc finger protein 593	3	3	799180
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	10	9	4.70507e+06
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	3	3	557934
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	23	23	7.13265e+06
O00541	PESC_HUMAN	PES1	Pescadillo homolog	16	16	2.58944e+06
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	5	5	503787
O00562	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	9	9	890665
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	6	6	675180
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	20	20	2.42334e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	28	9	5.70747e+06
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	4	4	537430
O00592	PODXL_HUMAN	PODXL	Podocalyxin	8	8	5.44526e+06
O00622	CCN1_HUMAN	CCN1	CCN family member 1	2	2	4471.96
O00625	PIR_HUMAN	PIR	Pirin	7	7	1.87031e+06
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	9	5	2.69353e+06
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	7	7	3.00471e+06
O00748	EST2_HUMAN	CES2	Cocaine esterase	2	2	101565
O00750	P3C2B_HUMAN	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	2	2	289133
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	3	3	1.6819e+06
O00762	UBE2C_HUMAN	UBE2C	Ubiquitin-conjugating enzyme E2 C	4	4	524974
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	9	9	1.97125e+06
O00767	ACOD_HUMAN	SCD	Acyl-CoA desaturase	5	5	2.41177e+06
O06350	LIPF_MYCTU	lipF	Carboxylesterase/phospholipase LipF	1	1	328293
O13297	CET1_YEAST	CET1	mRNA-capping enzyme subunit beta	14	14	1.66582e+07
O13516	RS9A_YEAST	RPS9A	Small ribosomal subunit protein uS4A	11	1	4.34091e+07
O13525	COQ4_YEAST	COQ4	Ubiquinone biosynthesis protein COQ4, mitochondrial	1	1	3627.55
O13539	THP2_YEAST	THP2	THO complex subunit THP2	3	3	1.66717e+07
O13547	CCW14_YEAST	CCW14	Covalently-linked cell wall protein 14	2	2	704739
O13563	RPN13_YEAST	RPN13	26S proteasome regulatory subunit RPN13	4	4	3.81285e+06
O13585	YP089_YEAST	YPR089W	Dilute domain-containing protein YPR089W	9	9	869717
O14455	RL36B_YEAST	RPL36B	Large ribosomal subunit protein eL36B	4	1	4.55153e+07
O14467	MBF1_YEAST	MBF1	Multiprotein-bridging factor 1	8	8	1.14431e+07
O14493;O15551;O95484;P56747	CLD3_HUMAN;CLD4_HUMAN;CLD6_HUMAN;CLD9_HUMAN	CLDN3;CLDN4;CLDN6;CLDN9	Claudin-4	1	0	139137
O14494	PLPP1_HUMAN	PLPP1	Phospholipid phosphatase 1	1	1	673728
O14497	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	9	8	789417
O14519;O75956	CDKA1_HUMAN;CDKA2_HUMAN	CDK2AP1;CDK2AP2	Cyclin-dependent kinase 2-associated protein 1	1	0	265119
O14523	C2C2L_HUMAN	C2CD2L	Phospholipid transfer protein C2CD2L	2	2	2112.67
O14524	NEMP1_HUMAN	NEMP1	Nuclear envelope integral membrane protein 1	4	4	384761
O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	7	7	5.87527e+06
O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	4	4	51978.1
O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	5	5	2.47035e+06
O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	2	2	1.42077e+06
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	6	6	2.65608e+06
O14569	C56D2_HUMAN	CYB561D2	Cytochrome b561 domain-containing protein 2	1	1	96297.4
O14578	CTRO_HUMAN	CIT	Citron Rho-interacting kinase	5	5	175846
O14579	COPE_HUMAN	COPE	Coatomer subunit epsilon	9	9	4.31177e+07
O14613	BORG1_HUMAN	CDC42EP2	Cdc42 effector protein 2	2	2	6363.31
O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	24	24	3.17827e+06
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	6	6	444562
O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	10	10	1.49913e+06
O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2	6	4	471567
O14646	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1	10	7	811287
O14647	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2	7	7	410605
O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	2	2	695174
O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	8	8	1.534e+07
O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	7	7	763187
O14662	STX16_HUMAN	STX16	Syntaxin-16	5	5	733511
O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	12	12	719991
O14678	ABCD4_HUMAN	ABCD4	Lysosomal cobalamin transporter ABCD4	1	1	6856.47
O14681	EI24_HUMAN	EI24	Etoposide-induced protein 2.4 homolog	2	2	1.50246e+06
O14684	PTGES_HUMAN	PTGES	Prostaglandin E synthase	4	4	4.27452e+06
O14686	KMT2D_HUMAN	KMT2D	Histone-lysine N-methyltransferase 2D	3	3	185145
O14727	APAF_HUMAN	APAF1	Apoptotic protease-activating factor 1	3	3	78415.5
O14730	RIOK3_HUMAN	RIOK3	Serine/threonine-protein kinase RIO3	1	1	21958.5
O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	5	5	1.25645e+06
O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	3	3	225268
O14734	ACOT8_HUMAN	ACOT8	Acyl-coenzyme A thioesterase 8	8	8	2.1244e+06
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	2	2	1.1449e+06
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	6	6	2.83893e+06
O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	14	14	3.05451e+06
O14745	NHRF1_HUMAN	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	12	12	5.48909e+06
O14757	CHK1_HUMAN	CHEK1	Serine/threonine-protein kinase Chk1	6	6	160010
O14763	TR10B_HUMAN	TNFRSF10B	Tumor necrosis factor receptor superfamily member 10B	7	7	120782
O14772	FPGT_HUMAN	FPGT	Fucose-1-phosphate guanylyltransferase	2	2	63878.7
O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	7	7	4.93857e+06
O14776	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	30	28	1.9113e+07
O14777	NDC80_HUMAN	NDC80	Kinetochore protein NDC80 homolog	9	9	1.41727e+06
O14787	TNPO2_HUMAN	TNPO2	Transportin-2	9	9	1.70256e+06
O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1	22	22	8.48639e+06
O14817	TSN4_HUMAN	TSPAN4	Tetraspanin-4	1	1	562109
O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	11	7	1.17143e+07
O14828	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	8	8	2.68754e+06
O14832	PAHX_HUMAN	PHYH	Phytanoyl-CoA dioxygenase, peroxisomal	1	1	6378.06
O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	3	3	1.10918e+06
O14867	BACH1_HUMAN	BACH1	Transcription regulator protein BACH1	2	2	92017.5
O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	2	2	1.30372e+06
O14879	IFIT3_HUMAN	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	6	6	248863
O14880	MGST3_HUMAN	MGST3	Microsomal glutathione S-transferase 3	3	3	592348
O14893	GEMI2_HUMAN	GEMIN2	Gem-associated protein 2	3	3	135579
O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	2	2	412245
O14908	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	12	11	1.40447e+06
O14920	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	12	12	4.56043e+06
O14925	TIM23_HUMAN	TIMM23	Mitochondrial import inner membrane translocase subunit Tim23	2	0	171245
O14929	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	6	6	1.66866e+06
O14936	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	11	11	295734
O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	4	4	2.29363e+06
O14950;P19105	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	7	0	3.86287e+06
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	12	12	629500
O14965	AURKA_HUMAN	AURKA	Aurora kinase A	7	7	411402
O14966	RAB7L_HUMAN	RAB29	Ras-related protein Rab-7L1	2	2	789030
O14972	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	3	3	37090.5
O14974	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	22	21	1.60984e+06
O14975	S27A2_HUMAN	SLC27A2	Very long-chain acyl-CoA synthetase	22	22	3.52319e+06
O14976	GAK_HUMAN	GAK	Cyclin-G-associated kinase	13	13	1.00464e+06
O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	8	7	8.79286e+06
O14980	XPO1_HUMAN	XPO1	Exportin-1	30	29	4.37041e+06
O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	15	15	3.83785e+06
O15013	ARHGA_HUMAN	ARHGEF10	Rho guanine nucleotide exchange factor 10	3	3	419879
O15014	ZN609_HUMAN	ZNF609	Zinc finger protein 609	9	9	177514
O15020	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	32	32	4.29083e+07
O15027	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	41	41	3.18853e+06
O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	22	22	3.63111e+06
O15042	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	21	21	9.42776e+06
O15047	SET1A_HUMAN	SETD1A	Histone-lysine N-methyltransferase SETD1A	4	4	294011
O15061	SYNEM_HUMAN	SYNM	Synemin	5	5	362905
O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	28	28	2.55924e+06
O15084	ANR28_HUMAN	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	7	7	2.43626e+06
