Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle81_20251031173233.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle81_20251101011756.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle81_20251101093153.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle81_20251031190108.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle81_20251031234918.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle81_20251101070439.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle51_20251031202946.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle51_20251101024632.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E25Y150_Cycle51_20251101083316.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle51_20251031212821.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle51_20251101060602.raw	C:\Users\msuser\Downloads\Eclipse_QC_HEY_E100Y75_Cycle51_20251101034509.raw
O15427		SLC16A3		2	2	4.0786e+06	4.8279e+06	3.97135e+06	3.23406e+06	3.06914e+06	3.17177e+06	4.85702e+06	5.27811e+06	4.39554e+06	3.51084e+06	4.03019e+06	3.36432e+06
O15511		ARPC5		2	2	4.24907e+06	3.32284e+06	3.12945e+06	2.65916e+06	3.17674e+06	3.77662e+06	2.39516e+06	2.28567e+06	2.47362e+06	2.70613e+06	3.47182e+06	2.82522e+06
O15533		TAPBP		1	1	3.68967e+06	3.94702e+06	4.9458e+06	4.06825e+06	5.03502e+06	4.56758e+06	7.44809e+06	8.04979e+06	7.31072e+06	5.86771e+06	5.0192e+06	5.44487e+06
O43137		YBR085C-A		3	3	7.8562e+07	8.0372e+07	7.23992e+07	4.64453e+07	4.06155e+07	3.82698e+07	6.37517e+07	6.26445e+07	6.58007e+07	3.69899e+07	3.62231e+07	3.54614e+07
O43143		DHX15		6	6	7.65026e+06	7.91843e+06	7.2317e+06	1.20274e+07	1.10174e+07	1.03111e+07	1.10146e+07	1.05921e+07	1.15132e+07	1.04833e+07	1.07527e+07	1.13395e+07
O43169		CYB5B		3	3	3.19776e+07	3.6602e+07	3.3822e+07	3.2423e+07	3.10004e+07	3.29972e+07	3.63369e+07	3.70316e+07	3.53701e+07	3.40216e+07	3.16322e+07	3.10869e+07
O43175		PHGDH		15	15	1.0869e+08	1.21204e+08	1.09569e+08	1.23637e+08	1.22496e+08	1.2674e+08	1.07245e+08	1.05463e+08	1.0387e+08	1.11439e+08	1.08357e+08	1.14035e+08
O43181		NDUFS4		1	1	5.28272e+06	3.08022e+06	2.99083e+06	9.3442e+06	7.83244e+06	7.13008e+06	9.08078e+06	1.11534e+07	1.30169e+07	1.44666e+07	1.28026e+07	1.18263e+07
O43242		PSMD3		2	2	8.2266e+06	9.93226e+06	1.21423e+07	1.26064e+07	7.50995e+06	9.414e+06	1.40859e+07	1.5354e+07	1.55813e+07	1.16739e+07	1.13218e+07	1.14694e+07
O43264		ZW10		1	1	722600	734489	676161	556605	1.36501e+06	684950	785199	1.18756e+06	1.16717e+06	1.10927e+06	1.20902e+06	1.74723e+06
O43324		EEF1E1		2	2	5.50663e+06	6.2215e+06	5.09606e+06	9.7412e+06	1.1925e+07	1.02083e+07	8.25312e+06	9.66879e+06	9.70242e+06	1.05267e+07	1.06829e+07	1.13369e+07
O43390		HNRNPR		10	10	2.71904e+07	3.28838e+07	3.1599e+07	3.87205e+07	3.75806e+07	3.63517e+07	4.03901e+07	4.50131e+07	3.83122e+07	3.96581e+07	3.94765e+07	3.93998e+07
O43395		PRPF3		1	1	2.89393e+06	3.56308e+06	2.36249e+06	690722	1.21893e+06	1.4335e+06	6.30781e+06	7.2688e+06	4.40783e+06	4.8198e+06	4.82086e+06	4.41757e+06
O43396		TXNL1		3	3	5.51366e+06	6.7124e+06	6.58495e+06	6.37714e+06	6.14728e+06	6.41434e+06	7.73412e+06	7.4261e+06	6.46285e+06	6.33554e+06	6.13857e+06	6.0964e+06
O43399		TPD52L2		5	5	3.12001e+07	3.65069e+07	3.61092e+07	3.93025e+07	3.75756e+07	3.53165e+07	3.62308e+07	3.20755e+07	3.12831e+07	3.37449e+07	3.39066e+07	3.22046e+07
O43464		HTRA2		1	1								705340		659708	743749	962485
O43583		DENR		1	1	2.3098e+06	4.46886e+06	3.03616e+06	776181	2.8528e+06	2.4253e+06	4.02169e+06	4.08043e+06	2.66674e+06	3.56607e+06	3.08225e+06	4.02606e+06
O43592		XPOT		3	3	8.25116e+06	6.59067e+06	6.33604e+06	1.03723e+07	1.64657e+07	1.26758e+07	8.64128e+06	9.80669e+06	9.5664e+06	1.50812e+07	1.39338e+07	1.61924e+07
O43598		DNPH1		1	1	5.60069e+06	8.86554e+06	6.94627e+06	1.1023e+07	8.3502e+06	9.90307e+06	5.88867e+06	8.81711e+06	8.10693e+06	7.60359e+06	7.76236e+06	8.26225e+06
O43615		TIMM44		4	4	4.45614e+06	4.34353e+06	4.3922e+06	6.30688e+06	6.79763e+06	6.8137e+06	6.24788e+06	6.57556e+06	6.78639e+06	6.74336e+06	7.83158e+06	7.94257e+06
O43617		TRAPPC3		1	0	3.4123e+06	3.45845e+06	4.91758e+06	5.30246e+06	4.4086e+06	3.86736e+06	6.02602e+06	8.59384e+06	7.57291e+06	5.50453e+06	6.68214e+06	4.94458e+06
O43660		PLRG1		1	1	3.4834e+06	3.77721e+06	2.95709e+06	2.89326e+06	2.92332e+06	2.8051e+06	4.53124e+06	4.47456e+06	5.54264e+06	3.9632e+06	3.61165e+06	3.22394e+06
O43670		ZNF207		2	2	8.21617e+06	7.48651e+06	5.45416e+06	7.03112e+06	7.07225e+06	7.12053e+06	9.66204e+06	8.60579e+06	9.02726e+06	9.51347e+06	9.66642e+06	8.86369e+06
O43676		NDUFB3		1	1	6.22106e+06	4.93857e+06	6.28233e+06	4.64944e+06	6.05696e+06	5.30932e+06	4.63513e+06	3.35343e+06	5.47313e+06	6.06538e+06	5.68447e+06	5.21884e+06
O43678		NDUFA2		1	1			1.62732e+06	1.51653e+06	2.02911e+06	788331	1.84478e+06	2.6921e+06	2.30537e+06	2.98446e+06	3.59034e+06	3.27439e+06
O43681		GET3		1	1	1.6312e+07	1.21984e+07	1.6763e+07	2.12686e+07	2.2111e+07	1.72842e+07	1.47672e+07		1.22563e+07	1.71821e+07	1.73961e+07	1.58315e+07
O43684		BUB3		3	3	1.85888e+07	2.37997e+07	1.39278e+07	1.85426e+07	2.03639e+07	1.90685e+07	2.04092e+07	2.66642e+07	1.93992e+07	2.06263e+07	2.01944e+07	1.82149e+07
O43707		ACTN4		22	13	4.10996e+07	4.6476e+07	4.22665e+07	4.97897e+07	5.08296e+07	5.17724e+07	5.02596e+07	5.36088e+07	5.05666e+07	4.97582e+07	4.75316e+07	5.15967e+07
O43747		AP1G1		1	1	1.36046e+06	1.11768e+06	1.06946e+06	2.52855e+06	1.64011e+06	1.67635e+06	4.52129e+06	4.67632e+06	4.36361e+06	4.4885e+06	4.84395e+06	6.63568e+06
O43765		SGTA		1	1	5.0694e+06	7.24658e+06	5.50572e+06	4.27742e+06	4.32824e+06	4.93682e+06	7.29256e+06	8.4396e+06	6.02203e+06	5.61727e+06	6.28938e+06	5.44088e+06
O43776		NARS1		10	10	2.22649e+07	2.37521e+07	2.63938e+07	3.73437e+07	3.74083e+07	3.16188e+07	2.96542e+07	3.04443e+07	3.09874e+07	3.17434e+07	3.13639e+07	3.20308e+07
O43809		NUDT21		2	2	1.70842e+07	2.01688e+07	2.04696e+07	3.33724e+07	2.85443e+07	2.5175e+07	2.03435e+07	1.92512e+07	2.16776e+07	2.34606e+07	2.23514e+07	2.16548e+07
O43818		RRP9		1	1	1.08001e+06		756438	602658	428501	576198	3.65951e+06	3.54758e+06	2.47126e+06	2.58977e+06	2.91327e+06	3.18553e+06
O43837		IDH3B		1	1	3.45703e+06	4.68095e+06	4.18536e+06	2.81255e+06	3.50522e+06	3.5178e+06	5.95718e+06	6.44238e+06	4.1875e+06	4.84266e+06	5.39242e+06	4.43357e+06
O43852		CALU		7	7	1.87824e+07	2.11724e+07	1.91412e+07	2.58607e+07	2.42327e+07	2.27266e+07	2.19188e+07	2.45522e+07	2.44359e+07	2.37875e+07	2.45832e+07	2.35948e+07
O43865		AHCYL1		1	0	3.72298e+06	4.42603e+06	4.33684e+06	3.47978e+06	3.56488e+06	3.73428e+06	4.774e+06	5.71814e+06	4.2084e+06	3.86873e+06	4.43605e+06	3.8767e+06
O43920		NDUFS5		1	1	4.83776e+06	5.61821e+06	3.25804e+06	2.54043e+06	1.65039e+06	3.69433e+06	5.50253e+06	5.61912e+06		6.5114e+06	7.69244e+06	
O60220		TIMM8A		1	1	3.22189e+06	4.11511e+06	3.35368e+06	3.39662e+06	3.00136e+06	3.24775e+06	3.46514e+06	5.80344e+06	5.39321e+06	4.21195e+06	4.37726e+06	3.72185e+06
O60264		SMARCA5		5	4	6.01443e+06	5.92242e+06	6.18255e+06	7.42643e+06	4.72875e+06	6.2736e+06	8.62299e+06	8.50691e+06	8.18005e+06	8.90348e+06	8.52293e+06	8.53597e+06
O60296		TRAK2		1	1	2.55765e+06	3.4418e+06	3.17351e+06	5.42033e+06	7.54637e+06	5.99775e+06						
O60313		OPA1		1	1							1.59078e+06	1.47213e+06	884193	1.5292e+06	2.9287e+06	1.66128e+06
O60488		ACSL4		2	2	9.61292e+06	1.04139e+07	9.51137e+06	1.61118e+07	1.64145e+07	1.80646e+07	1.23545e+07	1.3347e+07	1.27594e+07	1.74621e+07	1.49921e+07	1.94569e+07
O60504		SORBS3		1	1	706480	699461	668044	590737	378499	818830	1.26893e+06	1.43069e+06	833326	976504	1.15905e+06	888222
O60506		SYNCRIP		14	9	5.21973e+07	5.33747e+07	6.00437e+07	6.61387e+07	6.54445e+07	5.56631e+07	5.70455e+07	5.97105e+07	6.07479e+07	6.63257e+07	6.62577e+07	6.8331e+07
O60568		PLOD3		2	2	1.02869e+07	1.11947e+07	1.1986e+07	1.13224e+07	1.05861e+07	1.29233e+07	1.19159e+07	1.18256e+07	1.18947e+07	1.29712e+07	1.35206e+07	1.19468e+07
O60664		PLIN3		9	9	2.80902e+07	2.93738e+07	2.37911e+07	2.78619e+07	2.86766e+07	2.90344e+07	2.79223e+07	3.0812e+07	2.91651e+07	3.08962e+07	2.85727e+07	2.87419e+07
O60678		PRMT3		1	1							571332	700974	413822	578406		
O60701		UGDH		2	2	2.65779e+06	4.39352e+06	2.91759e+06	4.42887e+06	4.95656e+06	4.36689e+06	5.27395e+06	6.28323e+06	5.94118e+06	5.98031e+06	6.67941e+06	7.00638e+06
O60716		CTNND1		1	1	1.52923e+06	1.89313e+06			1.68072e+06		2.94179e+06	2.49688e+06	1.94589e+06	1.94757e+06	1.79509e+06	1.963e+06
O60749		SNX2		2	1	5.11348e+06	4.35985e+06	6.73154e+06	4.84349e+06	4.94018e+06	5.34111e+06	1.01618e+07	1.14842e+07	9.06503e+06	7.93718e+06	8.01081e+06	7.32404e+06
O60763		USO1		1	1		1.9823e+06	3.00781e+06	1.35887e+06		1.30796e+06	4.07727e+06	5.43115e+06	3.42603e+06	2.93004e+06	2.20828e+06	2.78658e+06
O60814		H2BC12		4	0	2.49034e+09	2.74955e+09	2.31813e+09	2.95419e+09	2.42811e+09	2.36929e+09	2.18515e+09	2.35159e+09	2.248e+09	2.36527e+09	2.10122e+09	2.4118e+09
O60832		DKC1		7	7	8.73967e+06	9.13112e+06	8.46416e+06	8.22157e+06	9.35108e+06	9.43054e+06	1.51599e+07	1.8149e+07	1.63794e+07	1.75619e+07	1.70842e+07	1.56389e+07
O60841		EIF5B		5	5	1.00409e+07	1.02812e+07	8.12192e+06	9.55277e+06	9.86188e+06	1.01468e+07	9.05898e+06	8.85664e+06	9.73317e+06	9.50637e+06	9.86104e+06	1.09922e+07
