Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115025008.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115033552.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115204614.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115221736.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115213154.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115230314.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115174338.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115191457.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115182919.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115200036.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115042134.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115045713.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115002713.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115013840.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115010255.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115021423.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115144058.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115161218.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115152638.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115113819.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115165758.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115130939.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115122357.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115135518.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251114220425.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251114231551.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251114205301.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251114235131.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251114224008.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251114212844.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115100659.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115083541.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251114160714.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251114171857.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115105239.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115092119.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115053257.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251115070419.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251114183015.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115075001.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251115061839.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251114175434.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251114164316.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251114190554.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E25_base_20251114194135.raw	C:\MS_Proteomics\Raw_Files\HEY_Astral\HYE_E100_base_20251114201718.raw
A5A3E0		POTEF		1	1	299370	206418	304525	281293	215764	243583	1.84562e+06	1.27557e+06	1.79826e+06	1.68404e+06	292410	36361.2	1.63791e+06	1.62981e+06	1.83069e+06	1.59639e+06	1.86511e+06	1.81869e+06	1.80573e+06	2.02025e+06	1.7398e+06	1.87034e+06	1.85072e+06	1.59166e+06	1.95184e+06	1.79022e+06	1.74321e+06	1.48122e+06	1.68077e+06	1.61624e+06	299264	217026	343692	377927	358964	319367	330011	351374	357084	324030	323602	322242	286706	236236	299673	289728	335556	303527
A5YKK6		CNOT1		10	10	5.92533e+06	6.54366e+06	4.97023e+06	6.18242e+06	6.69696e+06	6.29051e+06	6.29125e+06	6.41354e+06	6.83351e+06	7.60125e+06	6.14437e+06	6.0378e+06	6.23758e+06	5.88516e+06	6.31364e+06	7.25386e+06	5.89715e+06	5.19125e+06	6.05861e+06	5.69128e+06	6.59546e+06	5.66737e+06	6.94394e+06	6.79178e+06	5.85892e+06	5.78797e+06	5.40697e+06	7.14897e+06	6.31207e+06	7.06438e+06	5.98058e+06	5.91169e+06	6.84723e+06	6.12108e+06	6.36264e+06	7.1574e+06	7.29949e+06	6.49794e+06	6.30438e+06	6.17402e+06	6.70945e+06	7.07813e+06	7.47126e+06	7.41878e+06	6.64762e+06	7.10476e+06	6.65828e+06	6.68594e+06
A5Z2X5		YPR010C-A		1	1	239000	124001	239676	249019	92932.7	85708.8	214879	252118	93224.1	94453.7	203715	105711	155281	160052	84850.1	130430	224965	233729	61116.1	265803	107759	192711	107998		189982	195252	143314	101967	95538.1	106666	178085	180852	205081	172310	163214	118930	104693	163815	250219	152535	208065	93286	157542	126979	111473	112468	144023	133204
A6NCE7		MAP1LC3B2		2	0	778456	1.06518e+06	879560	918936	650272	989845	1.21456e+06	1.12327e+06	1.15842e+06	1.37087e+06	1.10268e+06	921494	1.35617e+06	1.418e+06	1.1429e+06	1.33112e+06	867728	942646	756919	1.3494e+06	731487	941235	1.24868e+06	1.27378e+06	1.02229e+06	950337	1.34488e+06	860707	645298	1.3633e+06	1.10414e+06	864523	931087	1.22225e+06	1.13453e+06	827538	765391	1.32576e+06	919335	1.1706e+06	958167	1.0812e+06	888165	992889	1.0014e+06	870521	1.21288e+06	1.23535e+06
A6NDG6		PGP		9	9	738190	1.06764e+06	923890	1.01001e+06	838932	1.0099e+06	705950	722500	848674	852479	918648	928312	794040	842330	899816	936745	881868	836725	952437	780607	1.02471e+06	895885	1.01758e+06	1.04618e+06	870900	924716	822247	945881	842183	966920	807708	756736	929692	827909	847473	1.08714e+06	960689	804298	841942	905355	846350	933756	983321	904082	859796	894159	836400	884453
A6NHL2		TUBAL3		1	1	1.28235e+06	2.21917e+06	1.91105e+06	1.40693e+06	1.85195e+06	1.84364e+06	2.17972e+06	1.81544e+06	2.15176e+06	2.27133e+06	1.99046e+06	2.10257e+06	2.01179e+06	2.22507e+06	2.3648e+06	2.57404e+06	2.43877e+06	1.69318e+06	2.64082e+06	1.41477e+06	2.04633e+06	2.28085e+06	2.31943e+06	2.86495e+06	1.63767e+06	1.75962e+06	1.93622e+06	2.22426e+06	2.23483e+06	2.35026e+06	1.47591e+06	1.02648e+06	925886	1.40709e+06	1.42321e+06	1.65171e+06	2.00543e+06	1.11111e+06	1.46313e+06	1.72992e+06	1.46944e+06	2.15642e+06	2.02042e+06	1.84192e+06	1.51213e+06	1.73331e+06	1.1538e+06	1.49094e+06
A6NHR9		SMCHD1		6	6	313601	330518	259056	366729	301666	258138	248665	338809	248140	277661	215542	294605	277483	271494	292210	292413	217198	189949	264734	330273	281419	344419	273463	292132	271953	351299	329865	301731	329558	357911	253069	211880	241441	378307	314856	342361	308087	361728	252693	373732	350796	290758	308336	292876	387793	311369	356952	326494
A8K0Z3		WASHC1		2	0	499926	934580	1.06925e+06	803304	1.05173e+06	927687	762618	595728	1.30951e+06	885408	928338	733016	552247	630491	908399	1.13308e+06	609970	835965	748702	818642	944133	838973	776991	1.16236e+06	578939	666026	739248	806309	663301	761014	717869	1.01045e+06	771386	682720	583280	1.08878e+06	1.17069e+06	720288	751534	881172	613897	902064	1.11473e+06	1.0045e+06	941512	911374	583035	808937
A8MWD9		SNRPGP15		2	0	6.24382e+06	6.64263e+06	4.80544e+06	5.70839e+06	5.764e+06	6.0843e+06	5.1758e+06	5.39102e+06	5.24772e+06	4.91128e+06	4.78236e+06	5.01904e+06	4.00553e+06	4.07194e+06	4.49087e+06	4.72329e+06	5.88083e+06	5.23e+06	4.9613e+06	5.68486e+06	4.56236e+06	6.21718e+06	4.86108e+06	5.93036e+06	4.11782e+06	4.23433e+06	4.6698e+06	4.95041e+06	5.24951e+06	4.9776e+06	4.74981e+06	5.26658e+06	5.6964e+06	4.52334e+06	4.17794e+06	6.36429e+06	6.58797e+06	5.17278e+06	4.9428e+06	5.18193e+06	5.45929e+06	4.77127e+06	5.75018e+06	4.46897e+06	4.80581e+06	4.79664e+06	4.14487e+06	4.83915e+06
A8MXV4		NUDT19		1	1							162411	245008	258938	273869			217865	289871	397484	335654				315317		288551	174006	259896			257179			245186	214025			317208				366518	470421	448620		300131	353759		391984		369417	347875
B0I1T2		MYO1G		18	17	3.09759e+06	2.9454e+06	3.06203e+06	3.14073e+06	3.03915e+06	3.12742e+06	3.30901e+06	3.40423e+06	3.1594e+06	3.25521e+06	3.28209e+06	3.27857e+06	3.33129e+06	3.30705e+06	3.32663e+06	3.38607e+06	3.19539e+06	3.2166e+06	3.25058e+06	3.15419e+06	3.18363e+06	3.19622e+06	3.4016e+06	3.27348e+06	3.16383e+06	3.30063e+06	3.25053e+06	3.25489e+06	3.29618e+06	3.31119e+06	3.51513e+06	3.15655e+06	3.30743e+06	3.54425e+06	3.44383e+06	3.46473e+06	3.47707e+06	3.37324e+06	3.44848e+06	3.37478e+06	3.38074e+06	3.41064e+06	3.51271e+06	3.40944e+06	3.47173e+06	3.37848e+06	3.52785e+06	3.5563e+06
E9PAV3		NACA		7	6	9.0639e+06	9.09996e+06	9.15063e+06	9.09009e+06	8.93655e+06	9.75545e+06	9.30088e+06	8.78413e+06	9.14928e+06	9.29332e+06	8.14822e+06	8.6657e+06	8.38017e+06	8.25847e+06	8.05329e+06	8.49788e+06	9.29154e+06	8.91916e+06	8.75334e+06	8.60352e+06	8.32069e+06	8.47352e+06	8.71593e+06	8.24443e+06	7.6123e+06	7.86938e+06	7.29363e+06	7.99724e+06	8.18985e+06	7.81137e+06	7.59358e+06	8.09496e+06	8.35547e+06	7.96277e+06	8.01003e+06	8.49988e+06	8.47704e+06	8.32727e+06	8.17627e+06	7.77413e+06	8.18688e+06	8.08447e+06	8.26541e+06	8.12847e+06	7.54528e+06	7.47425e+06	7.7259e+06	7.83836e+06
E9PRG8		C11orf98		1	1	1.24285e+06	1.28187e+06	1.14747e+06	1.18326e+06	1.65935e+06	1.09311e+06	945949	1.16048e+06	1.30542e+06	1.3099e+06	939049	1.20001e+06	909863	1.09098e+06	901791	967733	1.25832e+06	1.17116e+06	1.41419e+06	1.1247e+06	1.09197e+06	1.09595e+06	1.27757e+06	1.17683e+06	784265	919730	981985	965536	1.08304e+06	1.0107e+06	1.1571e+06	1.05498e+06	1.13943e+06	812042	983976	1.38108e+06	1.38997e+06	1.09768e+06	1.2445e+06	1.19537e+06	1.09907e+06	1.17747e+06	1.22889e+06	1.15481e+06	1.12031e+06	1.15255e+06	769320	1.1759e+06
O00115		DNASE2		2	2	253200	477835	515759	527702	516127	517170	875716	872009	819911	759786	637826	598804	986650	699832	850534	825977	748317	720902	717246	801358	805453	831653	699859	700697	786905	903801	813151	725670	624305	685897	668633	548090	515971	758976	898922	697438	593204	521913	616935	570559	624545	538039	606914	533796	622435	602368	733725	617214
O00116		AGPS		10	10	704476	815968	765535	667519	769268	797347	700914	713120	776403	672608	830566	767879	752657	728148	773904	792913	693162	681974	627098	697460	635233	697248	615815	734140	658286	675939	693430	674268	680703	703288	795036	676974	753015	759878	748565	689703	677656	734461	660592	737875	654920	676287	794064	764390	764552	783184	701633	756671
O00139		KIF2A		8	7	587581	690651	620169	494766	704219	601186	517257	510132	581277	516933	586185	659578	481569	476269	555969	581464	538384	520572	613880	471133	597983	522348	500425	585481	604385	560495	540400	625420	597289	658878	579833	621673	535199	562709	575053	686247	628155	517686	561310	552714	528856	593348	595510	696839	534432	624878	538810	629745
O00148		DDX39A		5	5	3.17747e+06	3.43269e+06	3.19184e+06	3.53321e+06	2.64551e+06	3.08451e+06	3.77108e+06	3.39726e+06	3.06933e+06	3.07209e+06	3.29509e+06	3.3143e+06	3.68488e+06	3.96923e+06	3.37142e+06	3.81093e+06	3.49359e+06	3.26159e+06	3.04766e+06	2.92177e+06	2.99623e+06	3.15373e+06	3.2032e+06	3.35733e+06	3.30474e+06	3.17003e+06	3.52987e+06	3.17041e+06	3.25777e+06	3.29929e+06	3.49286e+06	3.3873e+06	3.58103e+06	4.25608e+06	3.92022e+06	3.02178e+06	3.59511e+06	3.80749e+06	3.69955e+06	3.78453e+06	3.89563e+06	3.83116e+06	3.70908e+06	3.39865e+06	3.86677e+06	3.62847e+06	3.81108e+06	3.96833e+06
O00151		PDLIM1		2	2	81713.7	222394	144108	149244	189546	199188	192249	250621	317186	386480	201225	250035	228350	320164	386282	310360	206762	215321	193318	235028	337374	250144	259264	306527	275986	285743	352788	328936	256171	306845	179727	159086	189139	197107	151164	180623	113465	127742	161554	254783	145619	190481	198569	262175	184549	144279	126645	185347
O00154		ACOT7		7	7	1.91159e+06	1.98155e+06	2.00759e+06	1.98891e+06	2.07415e+06	1.93625e+06	1.83504e+06	1.8454e+06	1.77254e+06	1.80852e+06	1.84202e+06	1.90927e+06	1.76727e+06	1.66793e+06	1.9443e+06	1.75131e+06	2.04241e+06	1.815e+06	1.98885e+06	2.14447e+06	2.05644e+06	1.90109e+06	1.94249e+06	1.92396e+06	1.99484e+06	2.18075e+06	1.83716e+06	1.94379e+06	1.87557e+06	1.87922e+06	1.9249e+06	1.65332e+06	1.83058e+06	1.87723e+06	1.88972e+06	1.99179e+06	1.93123e+06	1.71062e+06	1.8943e+06	1.969e+06	1.70648e+06	1.91375e+06	1.83693e+06	1.84922e+06	1.86175e+06	1.82088e+06	1.94202e+06	1.97457e+06
O00159		MYO1C		16	16	1.13038e+06	1.23623e+06	1.10288e+06	1.014e+06	1.31492e+06	1.21155e+06	1.1012e+06	1.06751e+06	1.14926e+06	1.17845e+06	1.20115e+06	1.17626e+06	1.0829e+06	1.03187e+06	1.17139e+06	1.18581e+06	1.06565e+06	1.14865e+06	1.14591e+06	970747	1.14313e+06	1.07212e+06	1.12561e+06	1.17544e+06	1.12123e+06	1.10359e+06	1.09317e+06	1.24775e+06	1.23637e+06	1.16447e+06	1.18926e+06	1.06085e+06	1.15355e+06	1.23849e+06	1.09153e+06	1.25276e+06	1.3474e+06	1.24541e+06	1.13272e+06	1.22403e+06	1.20648e+06	1.17937e+06	1.25082e+06	1.24829e+06	1.22187e+06	1.32276e+06	1.06436e+06	1.2031e+06
O00165		HAX1		2	2	269803	263072	339695	329528	271247	302242	338043	344481	298064	279581	250267	300586	325762	238401	407075	310984	277398	260959	355671	426308	291143	405565	397810	343609	308389	339073	389769	342948	211976	421128	263585	306378	240501	320487	214060	286545	289168	379121	262507	263525	249855	289576	318864	274047	325878	326048	258193	322029
O00170		AIP		8	8	1.02473e+06	1.0734e+06	842668	960816	1.1338e+06	1.10627e+06	903375	913340	1.06066e+06	974650	949163	953454	904841	841436	1.07849e+06	1.01764e+06	951790	933835	1.03998e+06	912272	1.09368e+06	914342	1.09123e+06	1.11342e+06	809273	842950	853966	1.01142e+06	1.07067e+06	1.10651e+06	928227	922808	1.01632e+06	1.10129e+06	995464	1.35428e+06	1.14827e+06	1.15009e+06	997405	1.01587e+06	986828	1.27226e+06	1.19948e+06	1.09079e+06	1.10744e+06	1.09582e+06	950746	1.14984e+06
O00178		GTPBP1		3	3	288249	377825	416791	343284	312774	373498	204329	163171	271096	243805	353554	417752	190989	214986	331665	283694	378818	312661	449259	405993	296397	327535	514562	431604	279418	391670	299197	330315	335581	368710	223339	177395	190952	288076	149791	341437	266075	192840	295568	279038	278974	367755	349817	287900	387361	285022	218334	266983
O00186		STXBP3		9	9	3.92096e+06	4.62241e+06	3.38215e+06	4.07908e+06	3.98839e+06	4.75285e+06	3.53848e+06	3.64046e+06	4.13198e+06	3.7749e+06	4.01037e+06	4.0966e+06	3.60392e+06	3.5781e+06	4.63272e+06	4.84476e+06	4.08559e+06	4.31366e+06	3.69546e+06	3.38454e+06	3.77203e+06	3.86763e+06	4.38753e+06	4.31665e+06	3.49624e+06	3.74079e+06	3.26711e+06	4.06868e+06	3.74684e+06	4.31473e+06	4.14648e+06	4.05794e+06	4.30734e+06	3.69075e+06	3.62429e+06	4.47627e+06	4.86129e+06	4.00067e+06	4.46064e+06	3.70025e+06	4.14597e+06	4.91132e+06	4.12341e+06	4.09242e+06	4.50452e+06	4.44327e+06	4.29624e+06	4.46832e+06
O00193		SMAP		1	1	202676	252614	105511	234461	189830	111869	95607.3		124005	172853	248475	286534	296180	293940	266652	329344	171906	224336	164438	177600	185637	236180	174632	213417	351676	416360	505898	342381	501793	347730	674169	246136	245169	677725	520787	222890	255586	327659	290676	444971	577069	221984	246972	526648	494867	492904	578325	469652
O00203		AP3B1		5	5	752142	777696	585676	604174	681950	738282	770720	735194	862579	904505	638606	755486	761880	633791	809930	824038	812392	760423	894837	782271	905202	784012	893248	803388	815995	784551	783973	791045	896280	798744	862379	730648	783983	679352	651768	757764	864329	636349	681370	705143	740432	651944	794987	806413	799680	771806	682373	716520
O00217		NDUFS8		5	5	830151	827670	759333	737624	821691	694119	686977	644959	773783	692419	1.12821e+06	889627	874528	768086	873517	813052	883899	683705	813919	693127	797226	817654	796942	928297	1.1298e+06	1.13869e+06	986134	1.01231e+06	777460	1.00545e+06	965527	791840	926436	983340	1.10176e+06	856223	791842	929796	966633	947959	918728	815237	907840	958381	906780	977496	1.05384e+06	962028
